Fernández García
Gómez Gonzales
García Rodríguez
Gonzáles Gutierrez
Rodríguez Cabrera
Gutiérrez Morales
Cabrera Huamán
Morales Guzmán
Huamán Torres
Guzmán Quispe
Torres Díaz
Quispe Chávez
Díaz Álvarez
Chávez Vásquez
Alvarez Castillo
Vásquez Flores
Castillo Vega
Flores Pérez
Vega Domínguez
Pérez Sánchez
Domínguez Rivera
Sánchez Valdez
Rivera Rojas
Valdez Alvarado
Rojas Mendoza
Alvarado Alarcón
Mendoza Mamani
Alarcón Salazar
Mamani Poma
Salazar Vargas
Poma Ramírez
Vargas Cruz
Ramírez Soto
Cruz Condori
Soto León
Condori Córdova
León Ortega
Córdova Aguilar
Ortega Hernández
Aguilar Ríos
Hernández Carmona
Ríos Miranda
Carmona Bustamante
Miranda Muñoz
Bustamante Herrera
Muñoz Luna
Herrera Campos
Luna Márquez
Campos Reyes
Márquez Salinas
Reyes Pacheco
Salinas Jiménez
Pacheco Navarro
Jiménez Villanueva
Navarro Nuñez
Villanueva Fuentes
Nuñez Figueroa
Fuentes Tapia
Figueroa Orellana
Tapia Santos
Orellana Martínez
Santos Silva
Martínez Palomino
Silva Carrasco
Palomino Peralta
Carrasco Flores
Peralta Santander
Flores Guerra
Santander Machuca
Guerra Calderón
Machuca Delgado
Calderón Cajamarca
Delgado Bellido
Cajamarca Guillén
Bellido Ruiz
Guillén Galarza
Ruiz Cáceres
Galarza Mares
Cáceres Mayta
Mares Rojas
Mayta Solís
Rojas Paz
Solís Núñez
Paz Zambrano
Núñez Castañeda
Zambrano Escobar
Castañeda Jara
Escobar Zevallos
Jara Calvo
Zevallos Arce
Calvo Zamora
